Rank,Title,Type,Premiere,Genre,Watchtime_M
1212,Call Me Chihiro,Movie,2023.0,Drama,17.6
1213,Loving Adults,Movie,2022.0,Crime,17.6
1215,The Bourne Legacy,Movie,2012.0,Action,17.6
1228,Harry Potter and the Half-Blood Prince,Movie,2009.0,Fantasy,17.4
1232,Jurassic Park,Movie,1993.0,Science Fiction,17.4
1236,Secret Magic Control Agency,Movie,2021.0,Animation,17.4
1237,The Great Wall,Movie,2016.0,Adventure,17.4
1240,The Hurricane Heist,Movie,2018.0,Drama,17.3
1246,The Twilight Saga: Breaking Dawn - Part 2,Movie,2012.0,Fantasy,17.2
1247,Burlesque,Movie,2010.0,Musical,17.1
1260,How the Grinch Stole Christmas,Movie,2000.0,Fantasy,16.9
1263,How to Train Your Dragon,Movie,2010.0,Animation,16.9
1264,Howls Moving Castle,Movie,2004.0,Animation,16.9
1265,Knight and Day,Movie,2010.0,Action,16.9
1270,Kate,Movie,2021.0,Action,16.8
1273,Not Quite Narwhal,Movie,2023.0,Animation,16.8
1275,Re/Member,Movie,2022.0,Horror,16.8
1277,The Price of Family,Movie,2022.0,Comedy,16.8
1278,The Takedown,Movie,2022.0,Comedy,16.8
1282,Enola Holmes,Movie,2020.0,Adventure,16.7
1284,47 Meters Down: Uncaged,Movie,2019.0,Horror,16.6
1285,Asterix & Obelix: The Middle Kingdom,Movie,2023.0,Adventure,16.6
1289,The Glass Castle,Movie,2017.0,Drama,16.6
1290,The Vault,Movie,2021.0,Drama,16.6
1291,The Wonder,Movie,2022.0,Drama,16.6
1293,Lost Bullet 2,Movie,2022.0,Action,16.5
1294,Phenomena,Movie,2023.0,Horror,16.5
1296,The Highwaymen,Movie,2019.0,Crime,16.5
1299,Baywatch,Movie,2017.0,Action,16.5
1301,Flushed Away,Movie,2006.0,Animation,16.5
1303,Instant Family,Movie,2018.0,Comedy,16.5
1305,Lesson Plan,Movie,2022.0,Crime,16.5
1312,The Invitation,Movie,2022.0,Horror,16.4
1315,A Dog's Purpose,Movie,2017.0,Drama,16.3
1316,Bumblebee,Movie,2018.0,Science Fiction,16.3
1317,Harry Potter and the Order of the Phoenix,Movie,2007.0,Fantasy,16.3
1322,The Thing,Movie,2011.0,Science Fiction,16.3
1323,21 Jump Street,Movie,2012.0,Action,16.2
1324,Bad Boys,Movie,1995.0,Action,16.2
1325,Blood Red Sky,Movie,2021.0,Horror,16.2
1326,Catch Me If You Can,Movie,2002.0,Crime,16.2
1330,Spirit: Stallion of the Cimarron,Movie,2002.0,Animation,16.2
1332,The Guilty,Movie,2021.0,Crime,16.2
1338,Look Both Ways,Movie,2022.0,Comedy,16.1
1349,Spider-Man,Movie,2002.0,Superhero,16.0
1355,Spider-Man 3,Movie,2007.0,Superhero,15.9
1357,Spirited Away,Movie,2001.0,Animation,15.9
1362,Barbie: Mermaid Power,Movie,2022.0,Animation,15.8
1363,Cloudy with a Chance of Meatballs,Movie,2009.0,Animation,15.8
1368,El Camino: A Breaking Bad Movie,Movie,2019.0,Crime,15.7
1371,Polar,Movie,2019.0,Action,15.7
1373,The Kissing Booth 3,Movie,2021.0,Comedy,15.7
1375,An Action Hero,Movie,2022.0,Action,15.6
1377,Mowgli: Legend of the Jungle,Movie,2018.0,Adventure,15.6
1378,To All the Boys: P.S. I Still Love You,Movie,2020.0,Romance,15.5
1384,I Came By,Movie,2022.0,Crime,15.5
1389,My Little Pony: A New Generation,Movie,2021.0,Animation,15.4
1391,Riddick,Movie,2013.0,Science Fiction,15.4
1393,The Godfather,Movie,1972.0,Drama,15.4
1394,The Kingdom,Movie,2007.0,Action,15.4
1395,Abduction,Movie,2011.0,Action,15.3
1398,Persuasion,Movie,2022.0,Drama,15.3
1399,The Lord of the Rings: The Fellowship of the Ring,Movie,2001.0,Fantasy,15.3
1406,The Son,Movie,2022.0,Drama,15.2
1409,47 Ronin,Movie,2013.0,Fantasy,15.1
1411,Devotion,Movie,2022.0,War,15.1
1412,He's All That,Movie,2021.0,Comedy,15.1
1413,The Mummy,Movie,1999.0,Adventure,15.1
1414,365 Days : This Day,Movie,2022.0,Romance,15.0
1416,Fury,Movie,2014.0,War,15.0
1420,Transformers,Movie,2007.0,Science Fiction,15.0
1421,G.I. Joe: Retaliation,Movie,2013.0,Action,14.9
1426,Storks,Movie,2016.0,Animation,14.8
1429,Eat Pray Love,Movie,2010.0,Drama,14.7
1430,Gridiron Gang,Movie,2006.0,Crime,14.7
1431,Gumraah,Movie,2023.0,Crime,14.7
1432,Little Women,Movie,2019.0,Drama,14.7
1439,John Wick: Chapter 3 – Parabellum,Movie,2019.0,Action,14.6
1440,Jungle Beat: The Movie,Movie,2020.0,Animation,14.6
1444,Gods of Egypt,Movie,2016.0,Adventure,14.5
1449,The Loud House Movie,Movie,2021.0,Animation,14.5
1450,The Takeover,Movie,2022.0,Crime,14.5
1451,To All the Boys: Always and Forever,Movie,2021.0,Romance,14.5
1453,The Willoughbys,Movie,2020.0,Animation,14.4
1457,Medieval,Movie,2022.0,History,14.4
1458,Outside the Wire,Movie,2021.0,Science Fiction,14.4
1464,Little Man,Movie,2006.0,Comedy,14.3
1465,Mission: Impossible - Rogue Nation,Movie,2015.0,Action,14.3
1467,The Equalizer 2,Movie,2018.0,Action,14.3
1469,Awake,Movie,2021.0,Science Fiction,14.2
1472,Hanna,Movie,2011.0,Action,14.2
1473,Harry Potter and the Deathly Hallows: Part 1,Movie,2010.0,Fantasy,14.2
1474,Interstellar,Movie,2014.0,Science Fiction,14.2
1477,Mission: Impossible - Ghost Protocol,Movie,2011.0,Action,14.2
1479,The Smurfs,Movie,2011.0,Animation,14.2
1481,American Gangster,Movie,2007.0,Biography,14.1
1484,Gladiator,Movie,2000.0,History,14.1
1486,Maid in Manhattan,Movie,2002.0,Romance,14.1
1489,The Twilight Saga: New Moon,Movie,2009.0,Fantasy,14.1
1490,The Unforgivable,Movie,2021.0,Drama,14.1
1491,Baby Driver,Movie,2017.0,Action,14.0
1492,Bright,Movie,2017.0,Fantasy,14.0
1498,The Chronicles of Riddick,Movie,2004.0,Science Fiction,14.0
1500,G.I. Joe: The Rise of Cobra,Movie,2009.0,Action,13.9
1503,Jack Reacher: Never Go Back,Movie,2016.0,Action,13.9
1506,Private Lesson,Movie,2022.0,Comedy,13.9
1514,Love in the Villa,Movie,2022.0,Comedy,13.8
1519,The Choice,Movie,2016.0,Romance,13.8
1527,Patriots Day,Movie,2016.0,Drama,13.7
1528,The Dilemma,Movie,2011.0,Drama,13.7
1529,The Silence,Movie,2019.0,Horror,13.7
1530,The Volcano: Rescue from Whakaari,Movie,2022.0,Documentary,13.7
1532,John Wick,Movie,2014.0,Action,13.6
1535,Noise,Movie,2022.0,Drama,13.6
1537,The Equalizer,Movie,2014.0,Action,13.6
